Year,Quarter,Model,Units_Sold_Millions,Revenue_USD_Billion,Market_Share_Percent,Avg_Selling_Price_USD,Online_Sales_Percent,Offline_Sales_Percent,Region
2017,Q1,iPhone 7,0.28,0.19,1.2,678,15,85,North India
2017,Q2,iPhone 7,0.31,0.21,1.3,678,17,83,South India
2017,Q3,iPhone 7 Plus,0.35,0.27,1.4,771,18,82,West India
2017,Q4,iPhone 7 Plus,0.42,0.33,1.6,785,20,80,East India
2018,Q1,iPhone 8,0.38,0.29,1.5,699,22,78,North India
2018,Q2,iPhone 8,0.41,0.31,1.6,699,24,76,South India
2018,Q3,iPhone X,0.45,0.45,1.8,999,26,74,West India
2018,Q4,iPhone X,0.62,0.62,2.1,999,28,72,East India
2019,Q1,iPhone XR,0.58,0.46,2.0,749,30,70,North India
2019,Q2,iPhone XR,0.65,0.49,2.2,749,32,68,South India
2019,Q3,iPhone XS,0.52,0.57,1.9,999,30,70,West India
2019,Q4,iPhone XS Max,0.71,0.85,2.5,1099,34,66,East India
2020,Q1,iPhone 11,0.68,0.54,2.4,699,36,64,North India
2020,Q2,iPhone 11,0.45,0.36,2.0,699,45,55,South India
2020,Q3,iPhone SE 2nd Gen,0.72,0.29,2.6,399,48,52,West India
2020,Q4,iPhone 12,0.89,0.89,3.1,799,50,50,East India
2021,Q1,iPhone 12,0.95,0.95,3.3,799,52,48,North India
2021,Q2,iPhone 12 Mini,0.62,0.55,2.8,699,50,50,South India
2021,Q3,iPhone 13,1.12,1.23,3.8,799,54,46,West India
2021,Q4,iPhone 13 Pro,1.45,1.74,4.5,999,56,44,East India
2022,Q1,iPhone 13,1.38,1.51,4.2,799,58,42,North India
2022,Q2,iPhone SE 3rd Gen,0.98,0.43,3.5,429,55,45,South India
2022,Q3,iPhone 14,1.52,1.67,4.8,799,60,40,West India
2022,Q4,iPhone 14 Pro,1.89,2.27,5.6,1099,62,38,East India
2023,Q1,iPhone 14,1.65,1.81,5.1,799,63,37,North India
2023,Q2,iPhone 14 Pro Max,1.42,1.99,4.9,1199,61,39,South India
2023,Q3,iPhone 15,1.98,2.18,6.2,799,65,35,West India
2023,Q4,iPhone 15 Pro,2.34,2.81,7.1,999,67,33,East India
2024,Q1,iPhone 15 Pro Max,2.12,2.97,6.8,1199,68,32,North India
2024,Q2,iPhone 15,1.87,2.06,6.5,799,66,34,South India
2024,Q3,iPhone 16,2.45,2.69,7.5,799,70,30,West India
2024,Q4,iPhone 16 Pro,2.89,3.47,8.2,1099,72,28,East India
